СМО с отказами M/M/5/5
n=5  mu=2 заявок/с  serviceTime=500 мс

  lambda     rho         expP0          thP0         expPn          thPn         expQ          thQ         expA          thA         expK          thK
--------------------------------------------------------------------------------------------------------------------------------------------
  1,6667  0,8333      0,165600      0,434698      0,000000      0,001456     1,000000     0,998544       1,6667       1,6642       0,0000       0,8321
  1,8182  0,9091      0,097843      0,403036      0,000000      0,002085     1,000000     0,997915       1,8182       1,8144       0,0000       0,9072
  2,0000  1,0000      0,011848      0,368098      0,000000      0,003067     1,000000     0,996933       2,0000       1,9939       0,4400       0,9969
  2,2222  1,1111      0,000655      0,329529      0,000000      0,004650     1,000000     0,995350       2,2222       2,2119       0,9900       1,1059
  2,5000  1,2500      0,001462      0,287032      0,000000      0,007300     1,000000     0,992700       2,5000       2,4818       0,9900       1,2409
  2,8571  1,4286      0,001668      0,240500      0,000000      0,011925     1,000000     0,988075       2,8571       2,8231       0,9900       1,4115
  3,3333  1,6667      0,000976      0,190265      0,000000      0,020390     1,000000     0,979610       3,3333       3,2654       0,9900       1,6327
  4,0000  2,0000      0,001155      0,137615      0,000000      0,036697     1,000000     0,963303       4,0000       3,8532       1,0800       1,9266
  5,0000  2,5000      0,002853      0,085686      0,000000      0,069731     1,000000     0,930269       5,0000       4,6513       1,9700       2,3257
  6,6667  3,3333      0,001835      0,040592      0,000000      0,139206     1,000000     0,860794       6,6667       5,7386       2,8600       2,8693
 10,0000  5,0000      0,002688      0,010939      0,010000      0,284868     0,990000     0,715132       9,9000       7,1513       3,8700       3,5757
 20,0000 10,0000      0,004695      0,000677      0,450000      0,563952     0,550000     0,436048      11,0000       8,7210       4,2900       4,3605
